country_code,country_name,year,env_patent_share_inventions,eps_index_lag1,eps_index_lag1_3_mean
AUS,Australia,1993,1.569483,0.16666667,0.16666667
AUS,Australia,1994,1.570727,0.16666667,0.16666667
AUS,Australia,1995,1.376177,0.16666667,0.16666667
AUS,Australia,1996,1.098099,0.16666667,0.16666667
AUS,Australia,1997,1.1262,0.16666667,0.16666667
AUS,Australia,1998,1.278662,0.16666667,0.16666667
AUS,Australia,1999,1.15159,0.5,0.27777778000000003
AUS,Australia,2000,1.182144,0.5,0.38888889
AUS,Australia,2001,1.153846,0.83333331,0.6111111033333333
AUS,Australia,2002,1.151452,0.8888889,0.7407407366666666
AUS,Australia,2003,1.138332,1.1388888,0.9537036699999999
AUS,Australia,2004,1.334058,1.1388888,1.0555554999999999
AUS,Australia,2005,1.062223,1.4722222,1.2499999333333334
AUS,Australia,2006,1.022835,1.8055556,1.4722222
AUS,Australia,2007,0.9699681,2.2222223,1.8333333666666667
AUS,Australia,2008,0.9654495,2.2222223,2.0833334
AUS,Australia,2009,0.9164881,2.3611112,2.2685186
AUS,Australia,2010,0.8050808,2.5277777,2.3703704
AUS,Australia,2011,0.7267223,2.8333333,2.574074066666667
AUS,Australia,2012,0.6337487,3.0,2.7870369999999998
AUS,Australia,2013,0.63257,3.4166667,3.0833333333333335
AUS,Australia,2014,0.6667764,3.5277777,3.3148148
AUS,Australia,2015,0.6725438,2.6944444,3.2129629333333334
AUS,Australia,2016,0.6752877,2.6944444,2.9722221666666666
AUS,Australia,2017,0.6232597,2.6944444,2.6944444
AUS,Australia,2018,0.5392765,2.75,2.7129629333333334
AUS,Australia,2019,0.6184876,2.8611112,2.7685185333333333
AUS,Australia,2020,0.655256,2.8611112,2.8240741333333332
AUS,Australia,2021,0.6052428,2.9166667,2.8796297
AUT,Austria,1993,1.360219,1.3888888,1.3888888
AUT,Austria,1994,1.325135,1.3888888,1.3888888
AUT,Austria,1995,1.371203,1.3888888,1.3888888
AUT,Austria,1996,1.454199,1.611111,1.4629628666666665
AUT,Austria,1997,1.572016,1.611111,1.5370369333333331
AUT,Austria,1998,1.23952,1.611111,1.611111
AUT,Austria,1999,1.253585,1.611111,1.611111
AUT,Austria,2000,1.224252,1.611111,1.611111
AUT,Austria,2001,1.114068,1.8888888,1.7037035999999999
AUT,Austria,2002,0.9819514,1.8888888,1.7962961999999998
AUT,Austria,2003,1.002438,1.8888888,1.8888888
AUT,Austria,2004,0.96679,2.1944444,1.9907406666666667
AUT,Austria,2005,0.938381,2.1944444,2.0925925333333333
AUT,Austria,2006,0.9925709,2.3055556,2.2314814666666667
AUT,Austria,2007,0.9418064,2.5277777,2.3425925666666667
AUT,Austria,2008,1.004082,2.25,2.3611111
AUT,Austria,2009,0.9144483,2.6666667,2.4814814666666667
AUT,Austria,2010,1.000171,2.9444444,2.6203703666666667
AUT,Austria,2011,0.964758,3.0833333,2.898148133333333
AUT,Austria,2012,0.9432524,3.0555556,3.0277777666666665
AUT,Austria,2013,0.7802981,2.9444444,3.0277777666666665
AUT,Austria,2014,0.8790154,3.2777777,3.0925925666666667
AUT,Austria,2015,0.8665578,3.1111112,3.1111111
AUT,Austria,2016,0.7772101,2.9444444,3.1111111
AUT,Austria,2017,0.8002395,2.9444444,3.0
AUT,Austria,2018,0.8008407,2.9444444,2.9444444
AUT,Austria,2019,0.9076207,3.0833333,2.9907407
AUT,Austria,2020,0.8130857,3.1388888,3.0555555
AUT,Austria,2021,0.600331,3.3055556,3.1759258999999997
BEL,Belgium,1993,0.5630631,0.94444442,0.9074074066666666
BEL,Belgium,1994,0.6316478,0.94444442,0.9259259133333333
BEL,Belgium,1995,0.5900981,1.1111112,1.0000000133333333
BEL,Belgium,1996,0.4991358,1.1111112,1.0555556066666667
BEL,Belgium,1997,0.60631,1.1111112,1.1111112
BEL,Belgium,1998,0.675505,1.1111112,1.1111112
BEL,Belgium,1999,0.5844847,1.2777778,1.1666667333333332
BEL,Belgium,2000,0.6377386,1.1111112,1.1666667333333332
BEL,Belgium,2001,0.6024118,1.5555556,1.3148148666666666
BEL,Belgium,2002,0.5697969,1.5555556,1.4074074666666665
BEL,Belgium,2003,0.5583269,1.6111112,1.5740741333333332
BEL,Belgium,2004,0.5584801,1.5555556,1.5740741333333332
BEL,Belgium,2005,0.5935472,2.4722223,1.8796297
BEL,Belgium,2006,0.5256407,2.5833333,2.203703733333333
BEL,Belgium,2007,0.5841626,2.6388888,2.5648148
BEL,Belgium,2008,0.5461512,2.3055556,2.5092592333333332
BEL,Belgium,2009,0.6133693,2.6388888,2.5277777333333336
BEL,Belgium,2010,0.5677313,2.6666667,2.5370370333333336
