panel_id,variable,role,label,is_anchor,dataset_id,source_variable,source,raw_file,source_series_count,rise_selection_rule,predictor_window_start,predictor_window_end
main,env_patent_share_inventions,target,Environment-related patent share of inventions,False,oecd_patents_environment,PT_INV.DEV.ENV_PAT._Z,OECD Patents - indicators,oecd_patents_environment_env_patent_share_inventions_PT_INV_DEV_ENV_PAT__Z_1990_2023.csv,1,NaN,1996,2022
main,gdp_constant_2015_usd,predictor,"GDP, constant 2015 US dollars",False,world_bank_wdi,NY.GDP.MKTP.KD,World Bank World Development Indicators,world_bank_wdi_gdp_constant_2015_usd_NY_GDP_MKTP_KD_1990_2024.csv,1,NaN,1996,2022
main,renewable_energy_share,predictor,Renewable energy share,False,world_bank_wdi,EG.FEC.RNEW.ZS,World Bank World Development Indicators,world_bank_wdi_renewable_energy_share_EG_FEC_RNEW_ZS_1990_2024.csv,1,NaN,1996,2022
main,wgi_regulatory_quality,predictor,WGI Regulatory Quality,False,world_bank_wgi,GOV_WGI_RQ.EST,World Bank Worldwide Governance Indicators,world_bank_wgi_wgi_regulatory_quality_GOV_WGI_RQ_EST_1990_2024.csv,1,NaN,1996,2022
main,co2_per_capita_ar5,predictor,"CO2 per capita, AR5 source",False,world_bank_wdi,EN.GHG.CO2.PC.CE.AR5,World Bank World Development Indicators,world_bank_wdi_co2_per_capita_ar5_EN_GHG_CO2_PC_CE_AR5_1990_2024.csv,1,NaN,1996,2022
main,fdi_net_inflows,predictor,FDI net inflows,False,world_bank_wdi,BX.KLT.DINV.CD.WD,World Bank World Development Indicators,world_bank_wdi_fdi_net_inflows_BX_KLT_DINV_CD_WD_1990_2024.csv,1,NaN,1996,2022
main,tertiary_enrollment,predictor,Tertiary enrollment,False,world_bank_wdi,SE.TER.ENRR,World Bank World Development Indicators,world_bank_wdi_tertiary_enrollment_SE_TER_ENRR_1990_2024.csv,1,NaN,1996,2022
main,env_technology_rta,predictor,Environmental technology RTA index,False,oecd_patents_environment,IX.DEV.ENV_PAT._Z,OECD Patents - indicators,oecd_patents_environment_env_technology_rta_IX_DEV_ENV_PAT__Z_1990_2023.csv,1,NaN,1996,2022
main,scientific_journal_articles,predictor,Scientific journal articles,False,world_bank_wdi,IP.JRN.ARTC.SC,World Bank World Development Indicators,world_bank_wdi_scientific_journal_articles_IP_JRN_ARTC_SC_1990_2024.csv,1,NaN,1996,2022
main,trade_openness,predictor,Trade openness,False,world_bank_wdi,NE.TRD.GNFS.ZS,World Bank World Development Indicators,world_bank_wdi_trade_openness_NE_TRD_GNFS_ZS_1990_2024.csv,1,NaN,1996,2022
main,inflation,predictor,Inflation,False,world_bank_wdi,FP.CPI.TOTL.ZG,World Bank World Development Indicators,world_bank_wdi_inflation_FP_CPI_TOTL_ZG_1990_2024.csv,1,NaN,1996,2022
main,fossil_energy_share,predictor,Fossil energy share,True,world_bank_wdi,EG.USE.COMM.FO.ZS,World Bank World Development Indicators,world_bank_wdi_fossil_energy_share_EG_USE_COMM_FO_ZS_1990_2024.csv,1,NaN,1996,2022
suba,env_patent_share_inventions,target,Environment-related patent share of inventions,False,oecd_patents_environment,PT_INV.DEV.ENV_PAT._Z,OECD Patents - indicators,oecd_patents_environment_env_patent_share_inventions_PT_INV_DEV_ENV_PAT__Z_1990_2023.csv,1,NaN,2010,2023
suba,rise_energy_efficiency,predictor,RISE Energy Efficiency score,True,world_bank_data360,WB_RISE_EE_*,World Bank Data360 Regulatory Indicators for Sustainable Energy,world_bank_data360_rise_energy_efficiency_WB_RISE_EE_2010_2023.csv,1,WB_RISE_EE_ALL,2010,2023
suba,rise_renewable_energy,predictor,RISE Renewable Energy score,False,world_bank_data360,WB_RISE_RE_*,World Bank Data360 Regulatory Indicators for Sustainable Energy,world_bank_data360_rise_renewable_energy_WB_RISE_RE_2010_2023.csv,1,WB_RISE_RE_ALL,2010,2023
suba,high_tech_exports,predictor,High-tech exports,False,world_bank_wdi,TX.VAL.TECH.MF.ZS,World Bank World Development Indicators,world_bank_wdi_high_tech_exports_TX_VAL_TECH_MF_ZS_1990_2024.csv,1,NaN,2010,2023
