broad_domain_code,broad_domain_label,available_in_indicator_data,metadata_subdomain_count,example_subdomains
ADAPT,Climate change adaptation technologies,True,37,"Adaptation technologies in agriculture, forestry, livestock or agro-alimentary production; In agriculture; Ecological corridors or buffer zones; In fisheries management"
BUILD,Climate change mitigation technologies related to buildings,True,10,Architectural or constructional elements improving the thermal performance of buildings; Enabling technologies in buildings; Energy efficiency in buildings; Energy efficiency in home appliances
ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",True,32,"Combustion technologies with mitigation potential (e.g. using fossil fuels, biomass, waste, etc.); Technologies for improved input efficiency (efficient combustion or heat usage); Technologies for improved output efficiency (combined heat and power, combined cycles, etc.); Enabling technologies (technologies with potential or indirect contribution to GHG emission mitigation)"
GHG,"Capture, storage, sequestration or disposal of greenhouse gases",True,5,Capture or disposal of methane (CH4); Capture or disposal of carbon dioxide (CO2); Capture or disposal of nitrous oxide (N2O); Not elsewhere classified
GOODS,Climate change mitigation technologies in the production or processing of goods,True,32,"Technologies relating to agriculture, livestock or agroalimentary industries; Afforestation or reforestation; Fishing; Aquaculture; Aquafarming; Food processing, e.g. use of renewable energies or variable speed drives in handling, conveying or stacking"
ICT,Climate change mitigation in information and communication technologies (ICT),True,3,Energy efficiency in communication networks; Energy efficient computing; Not elsewhere classified
MAN,Environmental management,True,16,"Air pollution abatement; Emissions abatement from mobile sources (e.g. NOx, CO, HC, PM emissions from motor vehicles); Air pollution abatement - Not elsewhere classified; Emissions abatement from stationary sources (e.g. SOx, NOx, PM emissions from combustion plants)"
OCEAN,Sustainable ocean economy,True,13,"Climate change adaptation in coastal zones; Desalination of sea water; Climate change mitigation and adaptation in fishing, aquaculture and aquafarming; Ocean pollution abatement"
TRA,Climate change mitigation technologies related to transportation,True,12,"Aeronautics or air transport; Enabling technologies in transport; Application of hydrogen technology to transportation, e.g. using fuel cells; Electric vehicle charging"
WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,True,22,"Enabling technologies or technologies with a potential or indirect contribution to GHG emissions mitigation; Not elsewhere classified; Bio-organic fraction processing; Production of fertilisers from the organic fraction of waste or refuse; Reuse, recycling or recovery technologies"
