code,label,broad_domain_code,broad_domain_label,available_in_indicator_data,domain_role
ENV_PAT,Environment-related technologies,ENV_PAT,Environment-related technologies,True,overall environment-related total
TOT,All technologies (total patents),TOT,All technologies (total patents),True,all technologies denominator
ADAPT,Climate change adaptation technologies,ADAPT,Climate change adaptation technologies,True,available broad environment subdomain
BUILD,Climate change mitigation technologies related to buildings,BUILD,Climate change mitigation technologies related to buildings,True,available broad environment subdomain
ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",True,available broad environment subdomain
GHG,"Capture, storage, sequestration or disposal of greenhouse gases",GHG,"Capture, storage, sequestration or disposal of greenhouse gases",True,available broad environment subdomain
GOODS,Climate change mitigation technologies in the production or processing of goods,GOODS,Climate change mitigation technologies in the production or processing of goods,True,available broad environment subdomain
ICT,Climate change mitigation in information and communication technologies (ICT),ICT,Climate change mitigation in information and communication technologies (ICT),True,available broad environment subdomain
MAN,Environmental management,MAN,Environmental management,True,available broad environment subdomain
OCEAN,Sustainable ocean economy,OCEAN,Sustainable ocean economy,True,available broad environment subdomain
TRA,Climate change mitigation technologies related to transportation,TRA,Climate change mitigation technologies related to transportation,True,available broad environment subdomain
WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,True,available broad environment subdomain
ADAPT_AGR,"Adaptation technologies in agriculture, forestry, livestock or agro-alimentary production",ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_AGR_AGR,In agriculture,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_AGR_ECO,Ecological corridors or buffer zones,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_AGR_FISH,In fisheries management,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_AGR_FOOD,"In food processing or handling, e.g. food conservation",ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_AGR_LIVE,In livestock or poultry,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_COAST,Adaptation at coastal zones or river basin,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_COAST_CON,"Controlling, monitoring or forecasting",ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_COAST_DUNE,Dune restoration or creation; cliff stabilisation,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_COAST_FLOOD,Flood prevention; flood or storm water management,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_COAST_HARD,"Hard structures, e.g. dams, dykes or breakwaters",ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_COAST_REEF,Artificial reefs or seaweed; restoration or protection of coral reefs,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_HEALTH,"Adaptation technologies in human health protection, e.g. against extreme weather",ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_HEALTH_AIR,Air quality improvement or preservation,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_HEALTH_DIS,Against vector-borne diseases whose impact is exacerbated by climate change,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_IND,Technologies having an indirect contribution to adaptation to climate change,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_IND_ICT,"Information and communication technologies [ICT] supporting adaptation to climate change, e.g. for weather forecasting or climate simulation",ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_IND_SPEC,Monitoring or fighting invasive species,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_IND_WAT,Assessment of water resources,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_INF,Adapting or protecting infrastructure or their operation,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_INF_EXT,Extreme weather resilient electric power supply systems,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_INF_HVAC,"Relating to heating, ventilation or air conditioning [HVAC] technologies",ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_INF_THE,Structural elements or technology for improving thermal insulation,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_INF_TR,In transportation,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_INF_URB,Planning or developing urban green infrastructure,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_NEC,Not elsewhere classified,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_WATRES,Water resource management,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_WATRES_DEM,Demand-side technologies (water conservation),ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_WATRES_DEM_IN,Indoor water conservation,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
