dataset_id,variable,source_variable,source,source_url,source_domain,download_status,file_format,file_exists,file_size_bytes_actual,sha256,actual_rows,actual_columns,manifest_rows,manifest_columns,shape_matches_manifest,expected_columns_present,observed_structure,reliability_status,audit_notes,variable_group,observations_total,non_missing_observations,missing_observations,entities_total,entities_with_data,years_total,years_with_data,first_year,last_year,source_series_count,country_code_complete_share
oecd_carbon_pricing,carbon_tax,"OECD.CTP.TPS,DSD_NECR@DF_NECRS,1.1/.ENE.FFUEL.CARBTAX._Z.EUR_TCO2.MEANW.V.A",OECD Net Effective Carbon Rates,"https://sdmx.oecd.org/public/rest/data/OECD.CTP.TPS,DSD_NECR@DF_NECRS,1.1/.ENE.FFUEL.CARBTAX._Z.EUR_TCO2.MEANW.V.A?startPeriod=1990&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",sdmx.oecd.org,downloaded,csv,True,75188,7df856d86666116ce4fe1aac105ec1493f245ce54fc82b6174a7faa3690a7296,243,36,243,36,True,True,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.1),confirmed,,Environmental policy,222,219,3,79,78,3,3,2018,2023,1,1.0
oecd_environment_tax,environmental_tax_revenue,"OECD.ENV.EPI,DSD_ERTR@DF_ERTR,1.0/A..TAXREV._T._T.PT_B1GQ._Z",OECD Environmentally Related Tax Revenue,"https://sdmx.oecd.org/public/rest/data/OECD.ENV.EPI,DSD_ERTR@DF_ERTR,1.0/A..TAXREV._T._T.PT_B1GQ._Z?startPeriod=1990&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",sdmx.oecd.org,downloaded,csv,True,1178184,b54dd083b829fe7213693a4c9a3530b03e455d918ad18c28efc3de2a8386cd1d,4500,36,4500,36,True,True,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),confirmed,,Environmental policy,4230,3501,729,141,132,30,30,1994,2023,1,1.0
oecd_eps,eps_index,POL_STRINGENCY.EPS,OECD Environmental Policy Stringency index,"https://sdmx.oecd.org/public/rest/data/OECD.ECO.MAD,DSD_EPS@DF_EPS,1.0/.A..EPS?startPeriod=1990&endPeriod=2020&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",sdmx.oecd.org,downloaded,csv,True,288751,db84658a2e66d38f844f9a17bb00bac38ff83f8930971c038662529276c2b488,1240,22,1240,22,True,True,OECD.ECO.MAD:DSD_EPS@DF_EPS(1.0),confirmed,,Environmental policy,1240,1240,0,40,40,31,31,1990,2020,1,1.0
oecd_patents_environment,env_co_invention_share,PT_TECH_COL.COL.ENV_PAT._Z,OECD Patents - indicators,"https://sdmx.oecd.org/public/rest/data/OECD.ENV.EPI,DSD_PAT_IND@DF_PAT_IND,1.0/.A.PT_TECH_COL.COL.ENV_PAT._Z?startPeriod=1990&endPeriod=2023&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",sdmx.oecd.org,downloaded,csv,True,717743,dccaed2952fda9a7cc8e23257c0012e9e982f85bb8fa37c1848e37caaf690146,2091,26,2091,26,True,True,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),confirmed,,Target and patent dynamics,2091,2091,0,120,120,33,33,1990,2022,1,1.0
oecd_patents_environment,env_patent_share_inventions,PT_INV.DEV.ENV_PAT._Z,OECD Patents - indicators,"https://sdmx.oecd.org/public/rest/data/OECD.ENV.EPI,DSD_PAT_IND@DF_PAT_IND,1.0/.A.PT_INV.DEV.ENV_PAT._Z?startPeriod=1990&endPeriod=2023&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",sdmx.oecd.org,downloaded,csv,True,1090105,cd2b47732357ba4dc41bf55d3677c1bf0c77a41a4f78cf2e0e4bc1d4c47c3f78,3804,26,3804,26,True,True,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),confirmed,,Target and patent dynamics,3538,3538,0,202,202,34,34,1990,2023,1,1.0
oecd_patents_environment,env_patents_per_million,INV_PS.DEV.ENV_PAT._Z,OECD Patents - indicators,"https://sdmx.oecd.org/public/rest/data/OECD.ENV.EPI,DSD_PAT_IND@DF_PAT_IND,1.0/.A.INV_PS.DEV.ENV_PAT._Z?startPeriod=1990&endPeriod=2023&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",sdmx.oecd.org,downloaded,csv,True,1063689,109bd8f4a4b545b8a580df1466438d8da8d0940fddae51521c41f671229326c2,3727,26,3727,26,True,True,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),confirmed,,Target and patent dynamics,3528,3528,0,196,196,34,34,1990,2023,1,1.0
oecd_patents_environment,env_technology_share_for_rta,PT_TECH.DEV.ENV_PAT._Z,OECD Patents - indicators,"https://sdmx.oecd.org/public/rest/data/OECD.ENV.EPI,DSD_PAT_IND@DF_PAT_IND,1.0/.A.PT_TECH.DEV.ENV_PAT._Z?startPeriod=1990&endPeriod=2023&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",sdmx.oecd.org,downloaded,csv,True,1093123,4ab24c54bdc12f06b2d0f76fcd20737a12a8d302d8d24191798be160a5316265,3804,26,3804,26,True,True,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),confirmed,,Target and patent dynamics,3538,3538,0,202,202,34,34,1990,2023,1,1.0
policy_uncertainty,economic_policy_uncertainty,All_Country_Data,Economic Policy Uncertainty Index,https://www.policyuncertainty.com/media/All_Country_Data.xlsx,www.policyuncertainty.com,downloaded,xlsx,True,161448,bcf82319cec18c1f81c2d30984eee2c5fa80c009c886cd49adc8c37365114d8e,517,27,517,27,True,True,xlsx:EPU,confirmed,,Policy and macro conditions,805,697,108,23,23,35,35,1990,2024,23,0.0
world_bank_data360,rise_energy_efficiency,WB_RISE_EE_*,World Bank Data360 Regulatory Indicators for Sustainable Energy,https://data360files.worldbank.org/data360-data/data/WB_RISE/WB_RISE.csv,data360files.worldbank.org,downloaded,csv,True,7568063,a641da43dfdd66ce8b8d30788184ad82cde510f55ea8d2999b9ded87c6b51cdb,19600,37,19600,37,True,True,WB.DATA360:DS_DATA360(1.2),confirmed,,Environmental policy,19600,19600,0,140,140,14,14,2010,2023,10,1.0
world_bank_data360,rise_renewable_energy,WB_RISE_RE_*,World Bank Data360 Regulatory Indicators for Sustainable Energy,https://data360files.worldbank.org/data360-data/data/WB_RISE/WB_RISE.csv,data360files.worldbank.org,downloaded,csv,True,4574435,47fcf0636b59b7de46a1a58058f198284bce2577397679e5688a3a2911bf1c28,11760,37,11760,37,True,True,WB.DATA360:DS_DATA360(1.2),confirmed,,Environmental policy,11760,11760,0,140,140,14,14,2010,2023,6,1.0
