feature,country_code,country_name,year_start,year_end,calendar_year_span,total_years,observed_years,missing_years,missing_share,first_observed_year,last_observed_year,leading_missing_years,internal_missing_years,trailing_missing_years,missingness_pattern
gdp_constant_2015_usd_lag1_3_mean,ABW,Aruba,2007,2007,1,1,1,0,0.0,2007.0,2007.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,AFG,Afghanistan,2013,2019,7,3,3,0,0.0,2013.0,2019.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,AGO,Angola,2013,2013,1,1,1,0,0.0,2013.0,2013.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,ALB,Albania,2001,2023,23,14,14,0,0.0,2001.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,ARE,United Arab Emirates,2000,2023,24,24,24,0,0.0,2000.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,ARG,Argentina,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,ARM,Armenia,1999,2023,25,22,22,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,ATG,Antigua and Barbuda,2017,2023,7,5,5,0,0.0,2017.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,AUS,Australia,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,AUT,Austria,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,AZE,Azerbaijan,1999,2023,25,21,21,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BEL,Belgium,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BEN,Benin,2012,2012,1,1,1,0,0.0,2012.0,2012.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BFA,Burkina Faso,2008,2023,16,6,6,0,0.0,2008.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BGD,Bangladesh,2000,2023,24,22,22,0,0.0,2000.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BGR,Bulgaria,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BHR,Bahrain,2004,2022,19,9,9,0,0.0,2004.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BHS,"Bahamas, The",1999,2023,25,17,17,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BIH,Bosnia and Herzegovina,2002,2022,21,20,20,0,0.0,2002.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BLR,Belarus,1999,2022,24,24,24,0,0.0,1999.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BLZ,Belize,2001,2020,20,6,6,0,0.0,2001.0,2020.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BOL,Bolivia,2006,2023,18,7,7,0,0.0,2006.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BRA,Brazil,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BRN,Brunei Darussalam,2009,2016,8,6,6,0,0.0,2009.0,2016.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BTN,Bhutan,2014,2022,9,3,3,0,0.0,2014.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,BWA,Botswana,2001,2019,19,3,3,0,0.0,2001.0,2019.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,CAF,Central African Republic,2005,2020,16,8,8,0,0.0,2005.0,2020.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,CAN,Canada,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,CHE,Switzerland,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,CHL,Chile,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,CHN,China,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,CIV,Cote d'Ivoire,2010,2023,14,7,7,0,0.0,2010.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,CMR,Cameroon,2004,2022,19,12,12,0,0.0,2004.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,COG,"Congo, Rep.",2004,2020,17,5,5,0,0.0,2004.0,2020.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,COL,Colombia,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,CPV,Cabo Verde,2015,2022,8,4,4,0,0.0,2015.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,CRI,Costa Rica,1999,2022,24,18,18,0,0.0,1999.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,CUB,Cuba,2001,2023,23,15,15,0,0.0,2001.0,2023.0,0,0,0,complete
