robustness_id,robustness_label,target_column,lag_suffix,model,split,prediction_rule,n_test,uses_test_labels,mae,rmse,oos_r2_vs_train_mean,spearman
robust_main_share_lag1_3_mean,Share target with lag1-3 mean predictors,env_patent_share_inventions,lag1_3_mean,country_last_pretest_holdconstant,test,country latest observed train+validation target held constant,312,False,0.3118602401339744,1.5534402797740023,0.8589847558580282,0.9396713041005564
robust_main_share_lag1_3_mean,Share target with lag1-3 mean predictors,env_patent_share_inventions,lag1_3_mean,country_train_validation_mean,test,"country mean target through validation period, global fallback",312,False,0.6794167908354009,3.313285418784909,0.3585029874515381,0.9410278131087497
robust_main_share_lag1_3_mean,Share target with lag1-3 mean predictors,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,test,selected_linear_model,312,False,1.0384557278659492,2.416171730187962,0.6588600848860342,0.8382202193375337
robust_main_share_lag1_3_mean,Share target with lag1-3 mean predictors,env_patent_share_inventions,lag1_3_mean,global_train_validation_mean,test,constant mean of train+validation targets,312,False,1.543124173267155,4.136773023191855,-7.483574755440259e-07,
robust_main_share_lag1,Share target with common-sample lag1 predictors,env_patent_share_inventions,lag1,country_last_pretest_holdconstant,test,country latest observed train+validation target held constant,312,False,0.3118602401339744,1.5534402797740023,0.8589847558580282,0.9396713041005564
robust_main_share_lag1,Share target with common-sample lag1 predictors,env_patent_share_inventions,lag1,country_train_validation_mean,test,"country mean target through validation period, global fallback",312,False,0.6794167908354009,3.313285418784909,0.3585029874515381,0.9410278131087497
robust_main_share_lag1,Share target with common-sample lag1 predictors,env_patent_share_inventions,lag1,elastic_net_alpha_1_l1_0.2,test,selected_linear_model,312,False,1.0262450041607407,2.371094834281715,0.6714701855125939,0.8316394171556344
robust_main_share_lag1,Share target with common-sample lag1 predictors,env_patent_share_inventions,lag1,global_train_validation_mean,test,constant mean of train+validation targets,312,False,1.543124173267155,4.136773023191855,-7.483574755440259e-07,
robust_main_per_million_lag1_3_mean,Per-million target with lag1-3 mean predictors,env_patents_per_million,lag1_3_mean,country_train_validation_mean,test,"country mean target through validation period, global fallback",312,False,2.572789706625659,8.255596434976983,0.7718619897110423,0.9605422254039481
robust_main_per_million_lag1_3_mean,Per-million target with lag1-3 mean predictors,env_patents_per_million,lag1_3_mean,country_last_pretest_holdconstant,test,country latest observed train+validation target held constant,312,False,2.9224612950576923,6.318486695340793,0.8663629467996118,0.9620527958417358
robust_main_per_million_lag1_3_mean,Per-million target with lag1-3 mean predictors,env_patents_per_million,lag1_3_mean,elastic_net_alpha_1_l1_0.8,test,selected_linear_model,312,False,7.70948162734486,15.466986964579904,0.19922191567266578,0.8754760130513909
robust_main_per_million_lag1_3_mean,Per-million target with lag1-3 mean predictors,env_patents_per_million,lag1_3_mean,global_train_validation_mean,test,constant mean of train+validation targets,312,False,9.396682745067864,17.283677337771735,6.207591711893112e-05,
robust_main_per_million_lag1,Per-million target with common-sample lag1 predictors,env_patents_per_million,lag1,country_train_validation_mean,test,"country mean target through validation period, global fallback",312,False,2.572789706625659,8.255596434976983,0.7718619897110423,0.9605422254039481
robust_main_per_million_lag1,Per-million target with common-sample lag1 predictors,env_patents_per_million,lag1,country_last_pretest_holdconstant,test,country latest observed train+validation target held constant,312,False,2.9224612950576923,6.318486695340793,0.8663629467996118,0.9620527958417358
robust_main_per_million_lag1,Per-million target with common-sample lag1 predictors,env_patents_per_million,lag1,elastic_net_alpha_1_l1_0.8,test,selected_linear_model,312,False,7.541364936594562,15.48828777335682,0.197014767466129,0.8714055532419461
robust_main_per_million_lag1,Per-million target with common-sample lag1 predictors,env_patents_per_million,lag1,global_train_validation_mean,test,constant mean of train+validation targets,312,False,9.396682745067864,17.283677337771735,6.207591711893112e-05,
robust_main_share_skew_transformed_lag1_3_mean,Share target with skew-transformed lag1-3 mean predictors,env_patent_share_inventions,lag1_3_mean,country_last_pretest_holdconstant,test,country latest observed train+validation target held constant,312,False,0.3118602401339744,1.5534402797740023,0.8589847558580282,0.9396713041005564
robust_main_share_skew_transformed_lag1_3_mean,Share target with skew-transformed lag1-3 mean predictors,env_patent_share_inventions,lag1_3_mean,country_train_validation_mean,test,"country mean target through validation period, global fallback",312,False,0.6794167908354009,3.313285418784909,0.3585029874515381,0.9410278131087497
robust_main_share_skew_transformed_lag1_3_mean,Share target with skew-transformed lag1-3 mean predictors,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,test,selected_linear_model,312,False,1.5410014724338992,3.8596217027987967,0.1295047226544167,0.81072898687763
robust_main_share_skew_transformed_lag1_3_mean,Share target with skew-transformed lag1-3 mean predictors,env_patent_share_inventions,lag1_3_mean,global_train_validation_mean,test,constant mean of train+validation targets,312,False,1.543124173267155,4.136773023191855,-7.483574755440259e-07,
