panel_id,panel_label,panel_role,comparison_group,feature_set_role,target_column,lag_suffix,comparison_scope,split,year_start,year_end,years,rows,countries,target_non_missing,feature_columns,complete_feature_rows,any_feature_missing_rows
robust_main_share_lag1_3_mean,Share target with lag1-3 mean predictors,robustness_primary_anchor,linear_robustness,primary_specification,env_patent_share_inventions,lag1_3_mean,own_sample_not_direct_ranking,train,1999,2018,20,2073,171,2073,9,1071,1002
robust_main_share_lag1_3_mean,Share target with lag1-3 mean predictors,robustness_primary_anchor,linear_robustness,primary_specification,env_patent_share_inventions,lag1_3_mean,own_sample_not_direct_ranking,validation,2019,2020,2,227,130,227,9,158,69
robust_main_share_lag1_3_mean,Share target with lag1-3 mean predictors,robustness_primary_anchor,linear_robustness,primary_specification,env_patent_share_inventions,lag1_3_mean,own_sample_not_direct_ranking,test,2021,2023,3,312,128,312,9,162,150
robust_main_share_lag1_3_mean,Share target with lag1-3 mean predictors,robustness_primary_anchor,linear_robustness,primary_specification,env_patent_share_inventions,lag1_3_mean,own_sample_not_direct_ranking,all,1999,2023,25,2612,174,2612,9,1391,1221
robust_main_share_lag1,Share target with common-sample lag1 predictors,robustness_timing,linear_robustness,common_sample_lag1_timing,env_patent_share_inventions,lag1,own_sample_not_direct_ranking,train,1999,2018,20,2073,171,2073,9,1471,602
robust_main_share_lag1,Share target with common-sample lag1 predictors,robustness_timing,linear_robustness,common_sample_lag1_timing,env_patent_share_inventions,lag1,own_sample_not_direct_ranking,validation,2019,2020,2,227,130,227,9,188,39
robust_main_share_lag1,Share target with common-sample lag1 predictors,robustness_timing,linear_robustness,common_sample_lag1_timing,env_patent_share_inventions,lag1,own_sample_not_direct_ranking,test,2021,2023,3,312,128,312,9,173,139
robust_main_share_lag1,Share target with common-sample lag1 predictors,robustness_timing,linear_robustness,common_sample_lag1_timing,env_patent_share_inventions,lag1,own_sample_not_direct_ranking,all,1999,2023,25,2612,174,2612,9,1832,780
robust_main_per_million_lag1_3_mean,Per-million target with lag1-3 mean predictors,robustness_target,linear_robustness,alternative_target,env_patents_per_million,lag1_3_mean,own_sample_not_direct_ranking,train,1999,2018,20,2066,167,2066,9,1071,995
robust_main_per_million_lag1_3_mean,Per-million target with lag1-3 mean predictors,robustness_target,linear_robustness,alternative_target,env_patents_per_million,lag1_3_mean,own_sample_not_direct_ranking,validation,2019,2020,2,226,129,226,9,158,68
robust_main_per_million_lag1_3_mean,Per-million target with lag1-3 mean predictors,robustness_target,linear_robustness,alternative_target,env_patents_per_million,lag1_3_mean,own_sample_not_direct_ranking,test,2021,2023,3,312,128,312,9,162,150
robust_main_per_million_lag1_3_mean,Per-million target with lag1-3 mean predictors,robustness_target,linear_robustness,alternative_target,env_patents_per_million,lag1_3_mean,own_sample_not_direct_ranking,all,1999,2023,25,2604,169,2604,9,1391,1213
robust_main_per_million_lag1,Per-million target with common-sample lag1 predictors,robustness_target_timing,linear_robustness,alternative_target_common_sample_lag1,env_patents_per_million,lag1,own_sample_not_direct_ranking,train,1999,2018,20,2066,167,2066,9,1471,595
robust_main_per_million_lag1,Per-million target with common-sample lag1 predictors,robustness_target_timing,linear_robustness,alternative_target_common_sample_lag1,env_patents_per_million,lag1,own_sample_not_direct_ranking,validation,2019,2020,2,226,129,226,9,188,38
robust_main_per_million_lag1,Per-million target with common-sample lag1 predictors,robustness_target_timing,linear_robustness,alternative_target_common_sample_lag1,env_patents_per_million,lag1,own_sample_not_direct_ranking,test,2021,2023,3,312,128,312,9,173,139
robust_main_per_million_lag1,Per-million target with common-sample lag1 predictors,robustness_target_timing,linear_robustness,alternative_target_common_sample_lag1,env_patents_per_million,lag1,own_sample_not_direct_ranking,all,1999,2023,25,2604,169,2604,9,1832,772
robust_main_share_skew_transformed_lag1_3_mean,Share target with skew-transformed lag1-3 mean predictors,robustness_transform,linear_robustness,skew_transformed_main_predictors,env_patent_share_inventions,lag1_3_mean,own_sample_not_direct_ranking,train,1999,2018,20,2073,171,2073,9,1071,1002
robust_main_share_skew_transformed_lag1_3_mean,Share target with skew-transformed lag1-3 mean predictors,robustness_transform,linear_robustness,skew_transformed_main_predictors,env_patent_share_inventions,lag1_3_mean,own_sample_not_direct_ranking,validation,2019,2020,2,227,130,227,9,158,69
robust_main_share_skew_transformed_lag1_3_mean,Share target with skew-transformed lag1-3 mean predictors,robustness_transform,linear_robustness,skew_transformed_main_predictors,env_patent_share_inventions,lag1_3_mean,own_sample_not_direct_ranking,test,2021,2023,3,312,128,312,9,162,150
robust_main_share_skew_transformed_lag1_3_mean,Share target with skew-transformed lag1-3 mean predictors,robustness_transform,linear_robustness,skew_transformed_main_predictors,env_patent_share_inventions,lag1_3_mean,own_sample_not_direct_ranking,all,1999,2023,25,2612,174,2612,9,1391,1221
