panel_id,panel_label,method,feature_a,feature_b,correlation,abs_correlation
main,Main v2 model,spearman,gdp_constant_2015_usd_lag1_3_mean,scientific_journal_articles_lag1_3_mean,0.8793258367509866,0.8793258367509866
main,Main v2 model,spearman,gdp_constant_2015_usd_lag1_3_mean,fdi_net_inflows_lag1_3_mean,0.7525215335079135,0.7525215335079135
main,Main v2 model,spearman,fdi_net_inflows_lag1_3_mean,scientific_journal_articles_lag1_3_mean,0.7327935089838317,0.7327935089838317
main,Main v2 model,spearman,renewable_energy_share_lag1_3_mean,co2_per_capita_ar5_lag1_3_mean,-0.6057106424016251,0.6057106424016251
main,Main v2 model,spearman,wgi_regulatory_quality_lag1_3_mean,co2_per_capita_ar5_lag1_3_mean,0.5489899311047673,0.5489899311047673
main,Main v2 model,spearman,co2_per_capita_ar5_lag1_3_mean,scientific_journal_articles_lag1_3_mean,0.517794935744737,0.517794935744737
main,Main v2 model,spearman,gdp_constant_2015_usd_lag1_3_mean,co2_per_capita_ar5_lag1_3_mean,0.4534982599256741,0.4534982599256741
main,Main v2 model,spearman,wgi_regulatory_quality_lag1_3_mean,inflation_lag1_3_mean,-0.45289038386219455,0.45289038386219455
main,Main v2 model,spearman,co2_per_capita_ar5_lag1_3_mean,fdi_net_inflows_lag1_3_mean,0.4515805316114818,0.4515805316114818
main,Main v2 model,spearman,wgi_regulatory_quality_lag1_3_mean,scientific_journal_articles_lag1_3_mean,0.40964805320093095,0.40964805320093095
main,Main v2 model,spearman,wgi_regulatory_quality_lag1_3_mean,fdi_net_inflows_lag1_3_mean,0.39446733388486854,0.39446733388486854
main,Main v2 model,spearman,co2_per_capita_ar5_lag1_3_mean,inflation_lag1_3_mean,-0.34955795945525575,0.34955795945525575
main,Main v2 model,spearman,wgi_regulatory_quality_lag1_3_mean,trade_openness_lag1_3_mean,0.3228789522586756,0.3228789522586756
main,Main v2 model,spearman,gdp_constant_2015_usd_lag1_3_mean,trade_openness_lag1_3_mean,-0.31509107015369686,0.31509107015369686
main,Main v2 model,spearman,gdp_constant_2015_usd_lag1_3_mean,wgi_regulatory_quality_lag1_3_mean,0.31356328594729077,0.31356328594729077
main,Main v2 model,spearman,renewable_energy_share_lag1_3_mean,fdi_net_inflows_lag1_3_mean,-0.2831727102180713,0.2831727102180713
main,Main v2 model,spearman,renewable_energy_share_lag1_3_mean,trade_openness_lag1_3_mean,-0.27574692024757935,0.27574692024757935
main,Main v2 model,spearman,co2_per_capita_ar5_lag1_3_mean,trade_openness_lag1_3_mean,0.269967716479952,0.269967716479952
main,Main v2 model,spearman,scientific_journal_articles_lag1_3_mean,inflation_lag1_3_mean,-0.2580701629738505,0.2580701629738505
main,Main v2 model,spearman,gdp_constant_2015_usd_lag1_3_mean,renewable_energy_share_lag1_3_mean,-0.23696395772305834,0.23696395772305834
