rank,country_code,country_name,year,observed,prediction,error,absolute_error
1,CHN,China,2022,36.75972,20.442228723850974,16.317491276149028,16.317491276149028
2,CHN,China,2023,38.42308,22.368031316647954,16.055048683352044,16.055048683352044
3,KOR,"Korea, Rep.",2023,17.64583,2.75855244946098,14.88727755053902,14.88727755053902
4,JPN,Japan,2021,18.32637,4.798519838602164,13.527850161397836,13.527850161397836
5,KOR,"Korea, Rep.",2022,13.91118,2.7222429383882933,11.188937061611707,11.188937061611707
6,KOR,"Korea, Rep.",2021,13.81879,2.6408778440212646,11.177912155978735,11.177912155978735
7,JPN,Japan,2022,15.63018,4.814947343512092,10.815232656487908,10.815232656487908
8,USA,United States,2023,10.59949,20.05495099033555,-9.455460990335549,9.455460990335549
9,CHN,China,2021,27.46088,18.63765457529151,8.82322542470849,8.82322542470849
10,JPN,Japan,2023,12.35528,4.79511166647965,7.560168333520351,7.560168333520351
11,USA,United States,2022,12.35069,19.729069485988006,-7.378379485988006,7.378379485988006
12,USA,United States,2021,14.33043,19.18039696529738,-4.84996696529738,4.84996696529738
13,IND,India,2023,0.9509992,4.853352346061502,-3.902353146061502,3.902353146061502
14,IND,India,2022,1.054487,4.362059999977362,-3.3075729999773618,3.3075729999773618
15,IND,India,2021,1.139217,4.056908997230275,-2.9176919972302753,2.9176919972302753
16,RUS,Russian Federation,2022,0.1397933,2.8680304931198535,-2.7282371931198535,2.7282371931198535
17,RUS,Russian Federation,2023,0.1051999,2.7523781217280385,-2.6471782217280384,2.6471782217280384
18,GBR,United Kingdom,2023,1.668825,4.1647719170302215,-2.4959469170302215,2.4959469170302215
19,RUS,Russian Federation,2021,0.2115711,2.7006684333766064,-2.4890973333766064,2.4890973333766064
20,BRA,Brazil,2023,0.1532527,2.590967501094856,-2.437714801094856,2.437714801094856
